StateFIPS,CountyFIPS,GEOID,AREA (HA),y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
20,85,20085,170431.971,42.05063,37.68152,39.2647,37.07946,41.24879,31.23301,32.55149,35.01156,32.30862,33.96048,33.09737,36.66965,34.60868,40.51627,33.73923,36.47758,31.16725,33.9868,36.8007,39.80119,34.40759,31.50253,33.53296,31.94644,30.37147,35.83364,33.6144,44.89537,38.3191,32.18429,38.72086,33.57766,41.52231,37.71503,35.91317,38.0686,37.93921,35.76
20,87,20087,144178.38,44.3974,38.86981,35.2313,34.58463,36.51642,30.01756,30.12948,39.41331,41.33743,39.19285,38.3339,40.29704,36.77615,44.30326,36.48851,40.668,33.89181,38.27051,39.69815,44.33497,46.26117,44.65878,48.34593,43.06032,38.64004,46.78048,45.87201,54.20492,49.99034,42.82003,47.84758,41.32585,42.74116,43.95848,39.39009,36.49465,35.93455,42.37902
20,89,20089,236828.362,27.18498,30.62069,24.33903,22.32851,26.22563,19.92534,16.2127,14.99659,20.61734,23.95032,16.56137,24.59388,20.5067,27.83247,15.04368,18.542,13.64013,14.10179,10.97933,14.73624,31.09042,20.05007,27.85954,15.5957,18.51069,20.79842,18.30153,28.86081,17.99927,14.75319,28.09895,21.61004,31.46049,23.71332,26.56233,18.01211,16.98533,24.98703
20,91,20091,124276.479,45.77979,40.9681,36.56186,36.93591,38.63395,35.16603,41.0751,47.12347,44.1163,45.28516,43.83145,47.04328,48.7624,55.92706,53.38925,54.11345,55.69788,59.20463,61.15708,63.53226,69.50221,71.01415,66.55458,67.16201,69.07758,69.0913,69.9121,69.84922,65.8004,66.70347,56.12381,54.63333,55.81519,61.66755,61.12775,59.15537,59.15242,59.62053
20,93,20093,225557.803,6.00583,6.59747,8.36708,14.23521,12.76544,13.70255,14.53575,22.79703,28.28289,25.94102,23.06336,33.28798,32.63482,34.94184,36.60601,42.82496,36.86679,38.62679,29.80276,31.9003,40.17396,32.01957,39.78093,31.46701,40.60766,36.04365,40.73188,47.8285,32.57219,24.30285,33.19297,30.84509,34.27421,36.47007,37.54941,29.73744,27.44042,24.03033
20,95,20095,224469.267,37.9353,33.39024,27.86075,23.46109,29.79146,33.13315,28.44294,30.10606,31.5891,38.6317,31.94623,35.57589,34.8652,34.2874,32.21836,37.77089,33.87545,29.01455,27.63088,18.61151,39.31738,32.66645,30.12079,21.57125,25.88769,32.68863,33.4548,49.61672,41.39978,37.35374,26.54887,27.70741,35.41486,39.38055,38.14068,28.84042,19.94556,31.91871
20,97,20097,187180.169,15.62209,18.90569,15.51242,14.31886,17.10058,14.25344,18.77412,20.92692,23.62939,28.76603,20.46991,27.349,28.0957,24.73459,27.01589,30.04183,26.89663,22.99771,25.44531,21.73598,28.47737,23.38298,26.21933,18.06047,22.61524,18.84054,22.35612,22.91077,18.37941,14.13321,19.08101,19.2571,20.92943,17.18999,17.67658,17.49027,12.27394,16.50705
20,99,20099,169178.174,52.59604,49.48092,41.3887,40.31665,44.57461,42.88137,36.68463,35.30427,37.67096,36.86828,40.07759,42.26293,39.46986,44.6962,43.41922,47.17612,44.10051,40.49983,49.85376,57.91182,60.57886,59.51263,59.32981,54.47529,56.71654,62.28343,57.12689,65.95165,63.03205,59.26272,54.12761,54.31232,62.55587,66.04301,65.01719,60.00099,58.46829,59.25925
20,101,20101,185826.069,9.09039,20.2547,12.15575,12.00971,14.87859,17.19569,21.60681,6.72368,16.48474,12.9044,11.11508,14.71451,14.4843,12.97877,14.37466,21.46026,17.72635,16.88217,14.13549,18.55185,24.08425,23.03539,28.37696,21.24956,29.5759,23.64598,26.50363,18.2963,13.7547,7.49084,16.59132,19.95067,24.39356,20.1387,22.54218,13.40464,9.68059,13.68922
20,103,20103,121399.529,46.35823,46.28448,40.09913,39.4514,41.8255,37.12791,41.02648,42.18029,44.70053,41.06981,46.52018,50.19232,47.94465,52.09944,45.90436,49.9786,47.25611,47.91305,50.24489,49.98575,47.77897,44.14505,42.31976,38.49072,36.47708,37.43595,37.86138,45.91544,39.73037,36.48966,39.81459,37.19348,36.6138,37.86824,36.37291,34.25356,34.20465,35.08716
20,105,20105,186586.984,21.77547,25.8638,18.85717,15.88951,18.52476,16.085,18.62218,16.43972,19.33775,26.13296,15.79754,21.16583,19.15418,21.87244,13.53843,18.69827,17.40207,12.26043,10.21134,13.76417,18.90652,13.64402,17.93233,8.15135,8.83802,12.59768,15.65266,26.13968,16.8794,15.42298,19.14346,18.22379,17.52798,18.03392,19.70507,16.18351,12.67362,19.38046
