1013500.0,8401.0,0.78,0.77,0.79
1022500.0,8401.0,0.87,0.84,0.85
1030500.0,8401.0,0.79,0.83,0.84
1031500.0,8401.0,0.85,0.87,0.87
1047000.0,8401.0,0.78,0.84,0.85
1052500.0,8401.0,0.83,0.84,0.84
1054200.0,8401.0,0.75,0.73,0.73
1055000.0,8401.0,0.8,0.8,0.8
1057000.0,8401.0,0.88,0.85,0.85
1073000.0,8401.0,0.84,0.82,0.83
1078000.0,8401.0,0.84,0.83,0.83
1118300.0,8401.0,0.82,0.82,0.83
1121000.0,8401.0,0.87,0.82,0.82
1123000.0,8401.0,0.81,0.86,0.87
1134500.0,8401.0,0.83,0.81,0.81
1137500.0,8401.0,0.83,0.79,0.79
1139000.0,8401.0,0.74,0.79,0.81
1139800.0,8401.0,0.77,0.54,0.61
1142500.0,8401.0,0.84,0.78,0.78
1144000.0,8401.0,0.8,0.82,0.83
1161280.0,1627.0,0.63,0.67,0.73
1162500.0,8401.0,0.82,0.73,0.74
1169000.0,8401.0,0.8,0.7,0.7
1170100.0,8401.0,0.82,0.69,0.7
1181000.0,8401.0,0.68,0.71,0.72
1184000.0,8401.0,0.75,0.73,0.75
1187300.0,8401.0,0.79,0.78,0.79
1193050.0,4917.0,0.75,0.71,0.72
1194796.0,4917.0,0.8,0.72,0.72
1195100.0,8401.0,0.76,0.77,0.78
1333000.0,8401.0,0.72,0.7,0.71
1350000.0,8401.0,0.72,0.77,0.79
1350080.0,8401.0,0.83,0.69,0.71
1350140.0,8401.0,0.76,0.68,0.68
1365000.0,8401.0,0.85,0.77,0.77
1389005.0,3619.0,0.69,0.46,0.52
1411300.0,7864.0,0.67,0.58,0.77
1413500.0,8401.0,0.85,0.78,0.78
1414500.0,8401.0,0.78,0.75,0.76
1415000.0,8401.0,0.78,0.74,0.74
1423000.0,8401.0,0.82,0.79,0.8
1434025.0,8401.0,0.76,0.68,0.68
1435000.0,8401.0,0.88,0.8,0.8
